N40_t30_Tr3_s10122_x10
-------------------------------------------------------
iter   objective    log-like      kl-div     f-prior
 136  -34768.185   35600.437     785.555     -46.697
 137  -34823.878   35653.573     783.178     -46.517
 138  -34778.518   35606.429     781.591     -46.320
 139  -34834.119   35659.622     779.358     -46.146
 140  -34786.285   35610.141     777.899     -45.957
 141  -34845.121   35666.693     775.781     -45.790
 142  -34794.543   35614.576     774.424     -45.609
 143  -34855.393   35673.246     772.405     -45.448
 144  -34802.197   35618.605     771.135     -45.273
 145  -34865.683   35680.002     769.200     -45.118
 146  -34809.864   35622.819     768.006     -44.949
 147  -34875.813   35686.760     766.147     -44.800
 148  -34817.563   35627.219     765.019     -44.637
 149  -34885.762   35693.484     763.229     -44.493
 150  -34825.204   35631.702     762.163     -44.335
 151  -34895.539   35700.172     760.437     -44.196
 152  -34832.729   35636.200     759.428     -44.043
 153  -34905.217   35706.888     757.762     -43.909
 154  -34840.205   35640.771     756.805     -43.761
 155  -34914.778   35713.606     755.197     -43.631
 156  -34847.555   35645.334     754.290     -43.488
 157  -34924.398   35720.496     752.735     -43.363
 158  -34854.958   35650.057     751.876     -43.224
 159  -34933.877   35727.351     750.372     -43.102
 160  -34862.540   35655.064     749.557     -42.967
 161  -34943.226   35734.178     748.103     -42.849
 162  -34870.108   35660.156     747.330     -42.718
 163  -34952.513   35741.039     745.923     -42.604
 164  -34877.691   35665.358     745.189     -42.477
 165  -34961.737   35747.929     743.827     -42.366
 166  -34885.217   35670.591     743.131     -42.243
 167  -34970.885   35754.830     741.810     -42.135
 168  -34892.773   35675.936     741.149     -42.015
 169  -34979.924   35761.702     739.868     -41.910
 170  -34900.272   35681.305     739.239     -41.794
 171  -34988.946   35768.632     737.994     -41.692
 172  -34907.748   35686.721     737.395     -41.579
 173  -34997.966   35775.630     736.185     -41.479
 174  -34915.205   35692.187     735.613     -41.369
 175  -35006.909   35782.616     734.435     -41.273
 176  -34922.633   35697.686     733.887     -41.165
 177  -35015.795   35789.604     732.738     -41.071
 178  -34930.043   35703.222     732.212     -40.967
 179  -35024.673   35796.637     731.089     -40.875
 180  -34937.458   35708.813     730.582     -40.774
 181  -35033.504   35803.672     729.484     -40.684
 182  -34944.871   35714.450     728.993     -40.585
 183  -35042.343   35810.758     727.917     -40.498
 184  -34952.332   35720.174     727.441     -40.401
 185  -35051.616   35818.317     726.385     -40.316
 186  -34960.145   35726.286     725.918     -40.222
 187  -35060.952   35825.971     724.880     -40.139
 188  -34968.122   35732.591     724.422     -40.047
 189  -35070.284   35833.650     723.401     -39.966
 190  -34976.256   35739.081     722.949     -39.876
 191  -35079.758   35841.497     721.942     -39.797
 192  -34984.678   35745.879     721.493     -39.708
 193  -35089.276   35849.408     720.501     -39.631
 194  -34993.452   35753.050     720.053     -39.545
 195  -35098.781   35857.325     719.074     -39.470
 196  -35002.652   35760.661     718.624     -39.385
 197  -35108.323   35865.294     717.659     -39.312
 198  -35012.308   35768.743     717.206     -39.229
 199  -35117.837   35873.248     716.253     -39.158

N40_t30_Tr3_s10122_x10'_lscale2'
 ---------------------------------------------------
   0    7720.489   -3359.434    4254.056    -107.000
   1    6881.775   -2910.222    3868.312    -103.241
   2    6062.921   -2442.587    3519.892    -100.442
   3    5262.765   -1957.666    3206.875     -98.224
   4    4476.387   -1453.903    2926.085     -96.399
   5    3697.254    -927.849    2674.542     -94.862
   6    2917.459    -374.354    2449.557     -93.547
   7    2127.857     213.268    2248.714     -92.411
   8    1318.575     842.687    2069.839     -91.423
   9     480.607    1520.895    1910.944     -90.558
  10    -390.421    2250.335    1770.116     -89.798
  11   -1287.749    3022.206    1645.333     -89.124
  12   -2188.734    3811.611    1534.356     -88.521
  13   -3062.778    4586.074    1435.319     -87.976
  14   -3893.484    5328.779    1347.816     -87.479
  15   -4674.804    6033.900    1272.076     -87.019
  16   -5403.050    6696.920    1207.279     -86.591
  17   -6081.367    7319.354    1151.800     -86.187
  18   -6715.540    7905.385    1104.042     -85.802
  19   -7307.808    8456.077    1062.833     -85.435
  20   -7859.235    8971.752    1027.433     -85.083
  21   -8372.635    9454.742     997.362     -84.744
  22   -8852.929    9909.543     972.199     -84.416
  23   -9306.364   10341.942     951.480     -84.097
  24   -9739.261   10757.737     934.690     -83.786
  25  -10157.064   11161.831     921.285     -83.483
  26  -10564.021   11557.943     910.737     -83.186
  27  -10963.222   11948.676     902.559     -82.895
  28  -11356.949   12335.877     896.319     -82.609
  29  -11746.800   12720.778     891.650     -82.328
  30  -12133.732   13104.026     888.242     -82.053
  31  -12518.264   13485.886     885.840     -81.781
  32  -12900.957   13866.710     884.238     -81.515
  33  -13282.002   14246.521     883.267     -81.252
  34  -13661.547   14625.333     882.793     -80.994
  35  -14039.698   15003.144     882.707     -80.739
  36  -14416.612   15380.021     882.922     -80.488
  37  -14792.313   15755.923     883.369     -80.240
  38  -15166.935   16130.924     883.994     -79.995
  39  -15540.650   16505.156     884.753     -79.753
  40  -15913.465   16878.588     885.609     -79.514
  41  -16285.497   17251.309     886.535     -79.278
  42  -16656.947   17623.497     887.507     -79.043
  43  -17028.018   17995.337     888.508     -78.811
  44  -17398.914   18367.017     889.523     -78.580
  45  -17769.833   18738.723     890.540     -78.351
  46  -18140.968   19110.640     891.548     -78.123
  47  -18512.378   19482.816     892.541     -77.897
  48  -18884.044   19855.228     893.513     -77.671
  49  -19256.069   20227.974     894.458     -77.447
  50  -19628.506   20601.103     895.373     -77.223
  51  -20001.079   20974.336     896.256     -77.001
  52  -20373.841   21347.724     897.103     -76.779
  53  -20746.699   21721.172     897.914     -76.558
  54  -21119.295   22094.321     898.688     -76.338
  55  -21491.301   22466.843     899.425     -76.118
  56  -21861.912   22837.936     900.124     -75.899
  57  -22230.752   23207.219     900.786     -75.681
  58  -22597.760   23574.635     901.411     -75.464
  59  -22962.722   23939.966     901.997     -75.248
   60  -23325.380   24302.956     902.544     -75.031
  61  -23685.145   24663.014     903.053     -74.816
  62  -24041.474   25019.597     903.523     -74.600
  63  -24394.285   25372.623     903.953     -74.385
  64  -24743.267   25721.777     904.341     -74.169
  65  -25088.187   26066.827     904.686     -73.954
  66  -25429.143   26407.867     904.986     -73.738
  67  -25766.202   26744.961     905.238     -73.522
  68  -26099.629   27078.371     905.438     -73.305
  69  -26429.502   27408.173     905.584     -73.087
  70  -26755.978   27734.519     905.675     -72.867
  71  -27079.035   28057.388     905.707     -72.646
  72  -27398.771   28376.874     905.679     -72.424
  73  -27715.253   28693.045     905.590     -72.201
  74  -28028.764   29006.181     905.441     -71.976
  75  -28339.579   29316.558     905.230     -71.749
  76  -28647.628   29624.109     904.960     -71.520
  77  -28952.686   29928.610     904.634     -71.289
  78  -29254.516   30229.828     904.256     -71.056
  79  -29553.016   30527.665     903.829     -70.820
  80  -29847.664   30821.603     903.357     -70.582
  81  -30138.333   31111.518     902.845     -70.340
  82  -30424.807   31397.198     902.296     -70.095
  83  -30706.597   31678.153     901.711     -69.845
  84  -30983.568   31954.250     901.090     -69.592
  85  -31255.602   32225.366     900.431     -69.333
  86  -31522.375   32491.173     899.730     -69.068
  87  -31782.493   32750.274     898.985     -68.797
  88  -32035.298   33002.004     898.186     -68.520
  89  -32279.734   33245.295     897.324     -68.237
  90  -32514.523   33478.857     896.388     -67.946
  91  -32738.279   33701.290     895.363     -67.648
   92  -32949.420   33910.994     894.234     -67.340
  93  -33146.397   34106.400     892.982     -67.021
  94  -33327.382   34285.656     891.587     -66.688
  95  -33491.123   34447.484     890.023     -66.338
  96  -33636.628   34590.858     888.261     -65.968
  97  -33764.006   34715.845     886.267     -65.571
  98  -33873.448   34822.609     884.014     -65.148
  99  -33966.672   34912.836     881.469     -64.695
 100  -34044.718   34987.555     878.621     -64.216
 101  -34109.132   35048.306     875.462     -63.711
 102  -34162.404   35097.576     871.990     -63.182
 103  -34207.592   35138.481     868.251     -62.639
 104  -34248.410   35174.789     864.291     -62.089
 105  -34286.997   35208.688     860.153     -61.537
 106  -34323.962   35240.836     855.885     -60.989
 107  -34359.378   35271.350     851.526     -60.447
 108  -34393.267   35300.288     847.111     -59.910
 109  -34425.668   35327.711     842.663     -59.380
 110  -34456.631   35353.688     838.202     -58.856
 111  -34486.205   35378.282     833.740     -58.337
 112  -34514.438   35401.547     829.287     -57.822
 113  -34541.366   35423.528     824.850     -57.311
 114  -34567.015   35444.257     820.438     -56.805
 115  -34591.431   35463.786     816.053     -56.302
 116  -34614.667   35482.169     811.700     -55.802
 117  -34636.765   35499.452     807.382     -55.305
 118  -34657.780   35515.693     803.100     -54.812
 119  -34677.761   35530.942     798.859     -54.322
 120  -34696.757   35545.252     794.660     -53.836
  121  -34714.818   35558.680     790.508     -53.354
 122  -34732.014   35571.295     786.405     -52.877
 123  -34748.421   35583.175     782.351     -52.404
 124  -34764.101   35594.385     778.348     -51.936
 125  -34779.119   35604.992     774.399     -51.473
 126  -34793.542   35615.062     770.505     -51.016
 127  -34807.439   35624.670     766.666     -50.564
 128  -34820.854   35633.858     762.886     -50.118
 129  -34833.873   35642.715     759.163     -49.679
